Text	Classificacao
Eu não tô conseguindo fazer login com o Facebook e nem pelo email eu criei uma conta mas não entra fica dando erro e diz pra tentar mais tarde me ajudem por favor	Negativo
O app é, em si, muito bom, mas tem bugs. Tenho a versão premium, mas músicas começaram a sumir da minha playlist. Também, quando coloco uma playlist não baixada, as músicas travam, mesmo com uma conexão boa.	Positivo
Acordei e minhas músicas simplesmente sumiram do cel e pc. Ai e tenso. 2 vezes já vc paga por algum que não funciona	Negativo
Eu tenho várias músicas baixadas e não consigo escutar. O app não abre de imediato, demora uns cinco minutos pra abrir, quando não trava e fecha. Demora demais para pesquisar qualquer música, e as vezes nem isso consigo, fala para tentar novamente. As vezes estou ouvindo música e do nada ele par…	Negativo
Um defeito, quando vc sai do app e entra por exemplo no Facebook ou outros apps, ele fecha sozinho e a música para. Pior coisas Spotify	Neutro
Fica saindo da minha conta! Excluindo todas minhas músicas! Pago o Premium e tenho esses problemas! Pensando seriamente em mudar de APK	Negativo
Incrível.Mas mesmo sem o Premium,acho uma sacanagem tocar músicas que não temos na Playlist.Não poder escolher tudo bem,agora tocar músicas que nem conhecemos é sacanagen	Positivo
Vou dar 4 estrelas por TOC pois tenho um moto G6 plus e ele tem a tela 18:9 e o app fica com uma faixa preta na parte de baixo, o resto está ótimo.	Positivo
Trabalho em 3 países, ele dá acesso somente a 14 dias fora do país e para de logar, continuo com o apple music então	Negativo
Aplicativo está apresentando erro ,mesmo que eu fique online aparece que estou offline e não consigo pesquisar música ,tem que ficar desligando e ligando o celular	Neutro
deveriam avisar quando venceu o pagamento do Premium antes de cortar o serviço, PORQUE EU NÃO DECORO O DIA CERTO QUE EU TENHO QUE PAGAR!	Neutro
O SPOTFY FICA FECHANDO SEMPRE QUE VOU PESQUISAR ALGO, ALEM DE FECHAR ELE SAI DA CONTA, JA ESTOU COM O PROBLEMA A TEMPOS, VOU PARAR DE PAGAR.	Negativo
Era perfeito, mas depois da última atualização, fica fechando sozinho. Por favor, ajeitem isso... Senão vou cancelar a assinatura e usar grátis o Deezer.	Negativo
Fica falando que estou sem internet, porém nós demais aplicativos que precisa de internet funciona normal. Depois que desinstalei e instalei novamente nem entra	Negativo
Quem inventou, inventou pra expert ou pra vagabundo q tem todo o tempo to mundo pra ficar fuçando até achar o simples, horrível e sem consideração com os usuários...	Negativo
mano pqp pq que só pode ouvir aleatório que merdaa pelo amor de Deus arrumem isso pq tá um lixo	Neutro
Usei alguns dias a versão grátis depois tornei Premium mais lembro que ganharia 1 mês grátis após se torna Premium. E já veio cobrando no 1 mês. Não entendi.	Neutro
Meu app mostra que estou offline sempre. Já fiz logout e, novamente, login mas não adianta. Não consigo pesquisar nada.	Negativo
O app seria muito melhor se desse pra escolher a música que quer ouvir mesmo não sendo Premium igual no computador.	Neutro
Bom o fato de ser gratuito logicamente que e b e iludibriante porém só serve se você quiser ouvir músicas e propagandas a todo instante. O que na minha opinião não é o ideal. Aplicativo ótimo e liso .	Positivo
Excelente muito Bom👏👏,Mas deveria ter mais formas de pagamentos no débito automático,por causa desse probleminha tenho que realizar o pagamento no boleto.	Positivo
Ótimo, porém poderia ser acrescentado uma espécie de equalizador, gosto muito de aumentar o grave das músicas, porém isso falta no app :/	Positivo
Essa atualização tá bem complicada. A conta é Premium e mudou pra Free, tá travando e fechando quando coloco algo para ouvir.	Negativo
Ótimo app, porém, poderia voltar a função de ouvir poder ouvir apenas as músicas do artista em que pesquisa na sua playlist offline	Positivo
Se não paga toca as músicas em modo aleatório, aí não faz sentido. Prefiro o Deezer da Tim. Quem tem o chip é de graça e toca o que você pede.	Negativo
Tenho uma conta, acesso no computador mas no meu smartphone não aceita logar. Preço reset da senha não adianta. Não consigo tb criar uma nova conta.	Negativo
Ameiii❤ agora.Pq eles botaram um geito que nas suas playlists possa pular as músicas atualizando o Sportify que bom estou muito feliz obrigada por quem aceitou Sportify ❤💘	Positivo
Nossa eu nunca consigo entrar nas minhas playlists só passa a musica de negócio aleatório o app adiciona um monte de coisa nas minhas playlists pdv aguem me ajuda 😡😭	Negativo
Fica aparecendo sempre as mesmas músicas de estilos que não tenho interesse, e a cada atualização tenho que baixar as playlist offline de novo!	Positivo
Olá, gostaria de saber se a função de compartilhar a música no stories do instagram ficará disponível em algum momento para mim.	Neutro
Ótimo app, só odiei o novo design do app, gostava mais quando os gêneros musicais tinha icones, agora tá muito estranho	Neutro
Está com um bug de conexão, meu celular está conectado ao Wifi e mesmo assim eu fico offline no aplicativo, resolvam isso!	Negativo
Tem muito bug! As vezes da o play e a música não começa. As vezes vc clica em um botão e o mesmo não funciona. Tem que reiniciar o programa constantemente.	Negativo
Apesar de todos pagamentos estarem em dia minha conta não está lendo como Premium, absurdo e falta de consideração com o consumidor.	Negativo
Estou pensando em não assinar mais, tenho conta Premium e o app agora está com um erro que apesar de ter mais de 20gb livres no aparelho ele não baixa mais músicas pois diz que o celular não tem mais espaço. Isso nunca aconteceu antes e caso continue vou assinar o do Google	Positivo
Tenho me decepcionado muito ultimamente com o Spotify. Ele anda muito lento para abrir a biblioteca de músicas e o mecanismo de pesquisa para de funcionar a todo tempo, mesmo com a internet funcionando normalmente. Concertem esses bugs e volto a dar 5 estrelas	Negativo
Gosto muito do aplicativo, porém devia ter um meio mais fácil de visualizar seus downloads, como por exemplo uma aba somente para eles	Positivo
Assim como outros usuários já vem reclamando, o app para Android está parando as músicas sozinho, além disso várias vezes passo a música e na tela aparece o nome da música que estava trocando anteriormente, pelo valor do apcote Premium e pela qualidade que já teve, vem caindo muito.	Negativo
Pela milésima vez baixei mais de mil músicas e simplesmente some, tá difícil, o pior é que mesmo tendo que fazer download novamente o espaço interno continua compromisso, tô quase desistindo do Spotify e indo procurar outra plataforma de música.	Negativo
Para mim o app é bom. Seria perfeito se tivesse opção de buscar uma música específica dentro das playlist, pois há playlist com muitas músicas e as vezes se torna difícil encontrar uma música pelo nome ou pela posição dela na playlist.	Positivo
Com as atualizações venho tendo diversos problemas com o app. Baixo uma playlist num dia e no outro do nada ela some. Do nada o app para de tocar e preciso recomeçar a reprodução. Antes o aplicativo era muito bom, agora a qualidade está deixando a desejar.	Neutro
Sempre repete as músicas sem que eu tenha clicado no item de repetição. Se ocultar a janela do app , a barra de comandos some e tem que entrar de novo no aplicativo pra ouvir as músicas e olha que possuo conta premium! Melhore!	Neutro
"Desde a última atualização que as pessoas que não têm premium são ""deixadas de lado"" mais do que já eram"	Neutro
Não está carregando pois diz que não tem conexão com a internet ao mesmo tempo que recebo mensagens e notificações que necessitam de internet, só não tem conexão esse apk, apagando pois está usando para ver se eu gostava, caso gostasse estaria contratando a versão completa mais dos da decepção...	Negativo
Melhorem a qualidade de áudio para usuários Premium, som parece ser baixo, consome muito dados móveis deveria consumir menos, aplicativo está travando um pouco, mudem o layout para os usuários Premium porque somente os Free tem um design diferenciado?!	Neutro
Não estou conseguindo salvar o disco baixado na playlist que eu quero, depois que eu baixo tenho que enviar faixa por faixa para a minha playlist.	Negativo
O app é muito bom, é possível ouvir de tudo com ele, mas tem um problema, tenho uma conta Premium e faço download dos meus álbuns, mas quando volto para o aplicativo todas as músicas que eu baixei não estão mais lá.. arrumem isto pfv	Positivo
Se for pra oferecer serviço de má qualidade, é justo parar de cobrar. Não tá entrando online pra busca e download de músicas.	Negativo
O Spotify não garante a privacidade dos dados dos clientes. Minha conta foi hackeada duas vezes e meu cartão de crédito foi clonado. Aparentemente os servidores do Spotify não tem segurança nenhuma. Lixo de app, lixo de empresa	Negativo
A princípio o aplicativo era bem equilibrado no quesito músicas e propaganda, agora passou a tocar 1 comercial pra cada 2 músicas, esse excesso de propagandas ofuscaram a qualidade do app que era muito boa.	Neutro
Queria q tivesse a opção de vc poder programar o Spotify para poder parar de tocar as músicas automaticamente um timer de suspensão por assim dizer	Positivo
É muito massa esse app e tal mas o problema é que quando quero ouvir minhas musicas fica atrapalhando quando vcs adicionam musicas	Positivo
Vocês atualizaram o app e agora ele está cheio de bug, quando você tira o fone ele continua tocando, não aparece mais o app no campo de ferramentas, antes ele ao ligar em um bluetooth já iniciava, o app para de tocar música do nada, você muda a música mas ele não muda a tela para a música que est…	Negativo
Não é possível mudar o nome de usuário e eu fiquei semanas tentando colocar outro usuário no plano família sem sucesso. Além disso, músicas baixadas são apagadas sem nenhum motivo aparente.	Negativo
Criamos uma conta familia, mas sempre cque criavamos o usuario nao eramos capazes de recebem emails para aceitar, e nas poucas vezes possiveis, os usuarios criados nao tinham um nome escolhido por nós, deu uma dor de cabeça	Negativo
O app é ótimo, porém não consigo ouvir algumas músicas mesmo sendo Premium, vejo q tem muitas músicas q são explícitas em inglês com letras super ofensivas mas mesmo assim é possível ouvir, pq alguns funk não podemos, isso me deixa decepcionado pois tenho q ir para outro app ouvir elas	Positivo
Eu baixei o app hoje e eu estou desapontada. Eu gostaria que tivesse opção de alterar a foto de perfil ou pelo menos poder visualizá-la no celular. Tirando isso, o aplicativo é satisfatório (principalmente no computador) 😊	Neutro
Após me tornar Premium o aplicativo não está tocando a playlist inteira. Toda hora tenho que pular a musica. Isso é muito ruim quando se está longe do celular. Estou querendo cancelar a assinatura. O aplicativo está atualizado. Uso o zenfone 2.	Negativo
"Não consigo fazer login, provavelmente por senha incorreta. O app tem a opção ""insira seu email e vamos te mandar um email para vc recuperar sua senha"", mas esse email nunca chega. Já desinstalei e instalei o app duas vezes, mas não funciona."	Neutro
Esta lento e travando ao iniciar, pausar e trocar de música. Além de em certas músicas o estilo da tela de reprodução muda de visual ( um que acho até mais atraente mas que troca repetidas vezes)...	Positivo
APP é excelente no 4G funcionando sem nenhum problema de interrupções, porém consome muita bateria por si só (não incluindo o consumo do 4G). Outro problema é tamanho gigantesco do programa acima de 700 megas, algo inconcebível!	Neutro
É bom, mas me irrita o fato de que sempre que eu deixo uma playlist tocando e bloqueio a tela do celular, a música que estava tocando termina e a próxima só começa quando eu desbloqueio a tela.	Neutro
Por favor apaguem a opção de musicas adicionadas por vcs eu quero ouvir minhas musicas e não musicas recomendadas por vcs tem vezes que não consigo ouvir minha própria playlist por causa que só toca musica recomendada por vcs.	Negativo
Depois de atualização, mesmo sendo pago e estando no 4G ou WIFI aparece que estou off line. Não consigo pesquisar mais nada... Se não resolverem vou cancelar o plano. Só escuto o que já havia na play list.	Negativo
ESPERANDO QUANDO OS ADMS DO SPOTIFY ANDROID, VÃO ATUALIZAR, DAR UMA REPAGINADA NA INTERFACE PARECE COM A VERSÃO PARA iOS... Nós usuários Android também merecemos!	Neutro
Não posso escolher músicas nas playlist, mano só posso passar 6 músicas por hora, não dá para voltar músicas e pra ter isso e o app prestar nem que seja pra escutar de vez em quando tem que ser pago	Negativo
Maravilhoso, só podia ajudar na hora de fazer stream de um artista só, começa a tocar outros artistas, mas o App é muito bom! Por favor ouçam o álbum Love yourself tear do 방탄소년단!	Positivo
Sou usuário Premium, queria saber por qual motivo mesmo depois de baixar as músicas, elas apareceram novamente na playlist depois de um tempo como se não tivesse sido baixadas? Gostaria de uma resposta.	Positivo
App bom, pena que tem que estragar tudo pra ganhar dinheiro em tudo. É um saco ser obrigada a ouvir uma música que eu não quero e não posso pular. Quer ganhar dinheiro? Blz, mas faz do modo certo.	Negativo
Eu realmente amo esse app, porém mesmo pagando por um aplicativo ele insiste em excluir minhas músicas e dar bugs bem bobos, como me avisar para ficar online para baixar determinada playlist, mesmo eu já estando online! Arrumem isso por favor! Chega a ser irritante.	Positivo
No meu Moto G5S (versão premium), não consigo compartilhar a música direto no story do Instagram. A opção não aparece mesmo os dois apps estando atualizados	Neutro
Péssimo, essa última update 14/08/2018. Tá travando demais meu aparelho é Octa-core 2.45Ghz e tem 6GB de RAM e mesmo assim o Spotify fica só processando, mesmo já tendo baixado o álbum.	Negativo
EU NÃO GOSTEI porque quando eu vou mudar a musica ele manda eu ir para o sportify premiun e quando tá tocando uma musica na playlist e toco na outra musica ele toca so um pedaço e continua tocando a que eu adicionei primeiro	Negativo
Tentei assinar o Premium e nao conseguir, mesmo assim esta debitado em meu cartão de crédito três compras no valor de R$10.00 cada. Nao tenho com quem resolver :(	Negativo
Estou tendo problemas com as músicas off line, baixo e escuto de boa. Mas sempre some as músicas ou trava e manda logar de novo. Só que quando vou logar diz que estou off!!! So volta excluindo app e instalando de novo. RESUMO perco muito tempo e dados baixando tudo de novo... Complicado.	Neutro
Toca sempre músicas mó nada vê eu quase fiquei puto pela playrist Que não tocava as músicas da minha playrist ,só não dou 1 estrela porque eu ouso músicas no banho !	Neutro
Nao esta mais aparecendo em segundo plano no meu celular, a opção de passar está oculta.	Neutro
O app é ótimo em todos os sentidos! Novidades o tempo todo, thi is de vários artistas. Mas e sempre tem o mas , é muito caro! Façam um preço mais popular e ganhem no volume!	Neutro
Após últimas atualizações o aplicativo trava quando coloco alguma música para tocar, precisando reiniciar o aplicativo, pago o Premium e estou muito insatisfeito com a demora de uma atualização para concertarem este problema.	Negativo
Acho que antes tava melhor porque não faz sentido gastar quase 10 euros por mês para ouvir música sendo que já gastamos net mas yh... Menos um	Negativo
É bem facil de usar, e as listas sao compatíveis com a versao de PC. Mas irrita INTENSAMENTE as propagandas, sao 4 consecutivas depois de 2 musicas, e muitas vezes promovendo estilos musicais que nao tem nada a ver comigo, eu sei que tem q ter propaganda, afinal é free, e eles tem que vender o p…	Negativo
Super amo! Fácil e prático e eu gosto bastante. Agora, para fazer aquele mimo podia ter a opção de mudar a corzinha, né. Imagina um spotify rosa ou lilás... Amooo vcs!	Positivo
Tirando Que Nao Pula A Propaganda É Bom' E Ta Com Travamento Na Hora De Lançar As Músicas Do Celular Pro Notebook...	Neutro
Era Bom até a última atualização Agora está péssimo!! Sou Premium,não consigo ouvir a música que eu quero,só consigo ouvir no modo aleatório. Mudem logo essa atualização.	Negativo
A biblioteca se torna um pouco confusa quando vc segue muitos artistas. Sinto muita falta de uma pasta exclusiva para os donwloads, por favor melhorem isso!	Positivo
O melhor na categoria música sem comparação, Spotfy supera fácil Deezer entre outros...ele tem TODOS os estilos de música, você não pode escolher as músicas que quer sem ser pago...porém n é caro então compensa o preço que é pago pdlo serviço...continuem assim!	Positivo
Não tenho nada a reclamar! Adoro esse app, é simplesmente o melhor do gênero!	Positivo
ÓDIO ME DEFINE😡 Minha conta paga sumiu, não entra com meu e-mail, diz que não existe nenhuma conta nele, mas a mensalidade chega todo mês no meu cartão de crédito É o pior é quem nem posso cancelar a conta se não aparece no APP.	Negativo
Estou a pagar, e de uns tempos a esta parte que faço pesquisa troco de musica e o aplicativo vai a baixo. Não é agradavel ter de reiniciar o aplicativo e pesquisar de novo a musica ou artista	Negativo
Depois da última atualização ficou um lixo, músicas param do nada, música fica rodando sem ter a notificação, no bloqueio de tela o aplicativo não aparece mais e fica saindo sozinho	Negativo
O suporte não é orientado ao cliente, qualquer dúvida são várias páginas até uma possível solução e muitas vezes induzem ao fórum da comunidade, o que acho um descaso.	Negativo
Não sei se é só comigo mas tá bugando bastante ultimamente, as músicas as vezes não aparecem na tela inicial, *nem na barra de notificações*, não carrega as músicas dos álbuns/playlists (não aparecem nas próximas)	Neutro
Gostaria de saber o que está acontecendo com APP pois quando estou ouvindo uma música o APP para de funcionar e tenho que ir na minha playlist de novo e algumas vezes demora pra ligar a música... resolvam isso por favor...	Positivo
Gosto bastante desse aplicativo, inclusive sou um cliente Premium, só não vou dar 5 estrelas por um único motivo, gostaria que vocês desenvolvedores fizessem uma opção de você tirar trechos da música tanto no começo quanto no final, as vezes algumas músicas vem com interlude, pois no iTunes tem …	Positivo
Por que o sistema do Spotify quando limpa o cache ele trava no modo off-line, sempre trava não funciona diz que está off-line não permite entrar tem que desinstalar e instalar de novo...	Neutro
Estou pagando Premium e ele não funciona em modo offline. Apagou todos os meus download, tentei baixar novamente pela rede wi-fi e aparece para mudar as configurações para baixar com a rede do celular, sendo que estou pelo wi-fi. Não consigo ouvir minhas músicas !!!!!!!! Resolvam isso!!!!	Negativo
Por que vocês criadores não dão atenção as reclamações? O spotify estar perdendo a credibilidade e com razão, o app é bom mas estar precisando de muitos ajustes pra ser considerado #1. Eu odeio essa coisa de músicas sugeridas,se a pessoa estar em um álbum ela quer ouvir só as músicas daquele álb…	Negativo
Logo de começo eu gostei,ai depois amei,só não é perfeito por que não baixa as músicas e não é totalmente grátis! Mas recomendo para experimentar se gostarem continuem a utilizar!	Positivo
NÃO CARREGA PRA NADA. É IMPOSSÍVEL DE SE USAR ESSE APP SE ELE NAO QUER NEM LOGAR NA MINHA CONTA. TERRÍVEL. BUG TERRIVEL, EMPRESA TERRIVEL.	Negativo
Não vivo sem melhor app de música 🎶... Mas depois da última atualização meu nome aparece antes do artista, nas músicas baixadas na minha playlist.	Positivo
Ta horrivel o app, nao abre os daily mix, as musicam param sozinhas,diz que ta sem internet mesmo com ela. Se não arrumarem vou cancelar	Neutro
Assino desde 2015 e gosto do app, porém essa merda deleta as músicas baixadas sozinho e na hora que a gente quer ouvir offline não tem como	Negativo
Baixei o aplicativo e quando tento acessar a conta, faço digito login e senha e o aplicativo simplesmente volta para a parte de fazer o login novamente, repetidas vezes. Já baixei, desinstalei e baixei de novo e nada.	Negativo
não permitiu que eu trocasse a minha senha, estou pagando sem conseguir usar, e ainda não permite eu criar outra conta, tudo porque esqueci a senha.	Negativo
Gente pelo amor de Deus,coloquem as letras das músicas no app, é tão simples...outra coisa,toda vez que tem atualização ,baixa as músicas novamente,isso ñ é legal..no mais, ñ vivo sem Spotify!	Negativo
Eu adorava o app e indicava pra todo mundo, mas de um mes pra cah estou com alguns problemas: (1) a música para do nada e tenho q apertar o play pra continuar e (2) nao estou conseguindo pesquisar, aparece uma info de q estou offline mesmo eu estando no 4.5G. Por favor me ajudem!	Neutro
Me informem pfvr o que eu preciso fazer, agora a pouco me cadastrei no Premium e já efetuei pagamento por boleto bancário, eu tenho que esperar um tempo pra funcionar, ou deveria ter ativado o Premium automaticamente de imediato??????	Positivo
Muito bom. Me ganhou pela sua facilidade de escolher músicas, albúns e montar playlists. Minha única reclamação é que as vezes quando estou escutando uma playlist e mexendo em outro app, é como se a barrinha que fica em cima trava no nome de uma música anterior, não sei explicar direito e não se…	Positivo
Queria saber por que vocês criam nomes aleatórios nas contas, já fiz várias e meu nome de usuário fica com letras e números aleatórios, estou odiando o app!	Negativo
Não consegue baixar músicas	Neutro
Tá super bugado. Fica travando, toca música sozinho, não tô entendendo mais nada ps: meu celular é p G6 Play	Negativo
Até uma semana atrás eu não apresentava nenhum problema usando o aplicativo, mas magicamente as músicas começaram a parar quando bem entendiam. Se eu coloquei uma música pra tocar, é porque obviamente eu quero ouvi-la até o final. Não sei o que aconteceu nesse meio tempo mas espero que arrumem l…	Negativo
Adoro o app, uso desde os primórdios e já tiveram muitas melhorias, mas uma faz muita falta. Adicionar músicas a fila de maneira mais fácil, como só arrastando para o lado como é feito no IOS! O ideal mesmo seria se fosse possível configurar as ações de arrastar para direita e esquerda, entre ad…	Positivo
Atualizações se passam e uma coisa minúscula, simples, que quebraria um galho danado, até hoje não vem. Tem como vocês abrirem a possibilidade de editar a capa de uma playlist e sua foto de perfil no próprio app do Spotify???????	Negativo
Está apresentando muito erro. Apaga as músicas já salvas, não inicia a música no momento em que clicamos, a busca não está funcionando. Posso por algo que não estou usando...	Negativo
Não consigo procurar musicas e sempre aparece que estou off line mesmo não estando	Negativo
Não consigo mais escutar musica que o app fica desligando,ajeitem isso eu tô pagando pra ter uma coisa boa aí fica pior.	Negativo
Meu consagrado, deixa eu escutar a música que eu quiser se eu adicionei a música broken heart a minha play list eu quero ouvir a broken heart E NÃO OUTRA ALEATÓRIA	Negativo
De umas atualizações para cá o aplicativo ficou lento, não abre música e trava. Espero que resolva porquê senão vou poder para outra plataforma.	Neutro
Aplicativo bom porém na última atualização tá travando muito , arrumem isso pois não tá dando pra ouvir as músicas offline pois tá parando o tempo todo	Negativo
Os meus anúncios ficam travados mesmo que eu tenha conexão ao wifi e não me deixam , nem ver o anúncio, nem ouvir a música aff	Negativo
Não consigo ouvir as músicas que eu quero, sempre aparece outros tipos de música e não a que eh quero ouvir, estou pagando uma coisa a qual eu não estou tento o retorno correto..	Negativo
Tá um lixo, antes não tinha essas filha da putisse toda não, vou desinstalar essa prikita! Nem pular mais as músicas não pode 💔😒	Negativo
Cara vocês que criaram o Spotify por favor olha não dá para mim escutar as minhas músicas porque eu crio um álbum novo aí Eu escolho as minhas músicas Eu só quero escutar as minhas músicas que eu escolhi mas o Spotify invade o meu álbum e Bota qualquer música assim do mundo que eu não escolhi que…	Negativo
