Text	Classificacao
Essa calça na coleção nova da Riachuelo: parabéns aos envolvidos.   Minha gente, que coisa mais lindaaaaaa https://t.co/5ouCREmTAl	Positivo
Minha Riachuelo está morta	Negativo
Eu de boas na riachuelo, vejo a ruiva, o ale, dai do nada aparece uma deusa @_lualbl e ganhei o melhor abraço do un… https://t.co/QVJAPDRUaY	Neutro
"Sabe a Riachuelo, aquela cujo o dono defendeu o golpe com unhas e dentes?
Então menina, o Flávio Rocha, o dono, est… https://t.co/JU8F4U1D1T"	Negativo
"Não é atoa que o Dono da Riachuelo colocou um de seus prédios a venda.

Estamos boicotando a Riachuelo, a Centauro… https://t.co/0ps5JTfgjG"	Negativo
puta merda tem umas blusas de st tão lindas na riachuelo, juro que são as coisas mais lindas desse mundo eu fiquei… https://t.co/rlqj1UL1iN	Positivo
RT @GeraldodeMorais: Primeiro Flávio Rocha da Riachuelo, em seguida Sebastião Bonfim da Centauro, agora Luciano Hang da Havan.  Quem gera E…	Negativo
RT @SuperVia_trens: Até 19h, faremos manutenções na rede aérea da linha dos paradores. Trens para a Central do Brasil não realizarão parada…	Neutro
Até 19h, faremos manutenções na rede aérea da linha dos paradores. Trens para a Central do Brasil não realizarão pa… https://t.co/vBBVpx8K5m	Neutro
RT @freitasgilvan: Os senhores Sebastião Bomfim, dono da Centauro; Flávio Rocha (Riachuelo), Salim Mattar (Localiza), Meyer Nigri (Tecnisa)…	Neutro
Tava lá na Riachuelo !!	Positivo
Slc tio, eu racho dms desses cara da Renner e Riachuelo querendo lançar uns boot igual os Balenciaga, bagulho feião	Negativo
beatlesparacriancas #meuprimeiroshowderock #abaguncacontinua #gemudinhas #twins #twingirls #beatlesparacrianças em… https://t.co/M1BzHkp8TG	Neutro
@belbartok Ele já era dono da Riachuelo. Sempre foi empresário de sucesso. Os batistas eram AÇOUGUEIROS. Only	Neutro
"Passei pela parte infantil da Riachuelo e acabei levando um casaco do Harry Potter e outro do Star Wars
Felicidade resume"	Positivo
@julianedps Benina Riachuelo tem um monte	Positivo
Comprando Nosso Presente de Aniversário.... em Riachuelo Iguatemi Fortaleza https://t.co/pt51aTFxAo	Positivo
Violam o direito do consumidor dando ticket-troca ao invés da devolução em dinheiro numa possível troca de um produ… https://t.co/SVFx3w4arY	Negativo
RT @LuisCaval1: Os donos da @havan @riachuelo e @centauroesporte declararam voto em Bolsonaro! Vamos ajudar quem nos ajuda! Comprem com ele…	Neutro
@OsvladPereira @Spacelad43 Excelente. Agora eu sei de três grandes, por ordem cronológica de apoio: Riachuelo, Centauro e Havan.	Positivo
RT @ThamiPretinha: Vou na riachuelo depois comprar algo pra tia sandra	Positivo
@geeorgiaduarte @zeleonino @BrunoGomees Vou me meter pra dizer não comprem na Riachuelo, dono golpista e utiliza de… https://t.co/SN4IpYAE2f	Negativo
FIIIZ O BOOK na riachuelo postei tudo no Instagram fora as que eu editei pra postar 😬😬😬 brancomendes25 segueee o insta	Positivo
@flamends queria q balenciaga nao fosse parar na riachuelo	Negativo
a moda agora eh falar mal de balenciaga e no próximo mês comprar umas cópia mal feita na riachuelo ...	Negativo
@guxrrv riachuelo viu	Positivo
@r_aconteur aqui o primeiro https://t.co/biIfNi6fFA	Neutro
Acabou de publicar um vídeo em Teatro Riachuelo Rio https://t.co/aS6jh0wWIN	Neutro
Na Riachuelo tem camisetas do Super Mario 😍	Positivo
Adoro a Riachuelo, tem tudo 💸	Positivo
Vou na riachuelo depois comprar algo pra tia sandra	Positivo
@thaialievi vai na riachuelo la tem	Positivo
RT @riachuelo: Confira a coleção completa e seja você, #SintaTudoQueTeFazFeliz! https://t.co/BAa7KeOfQL	Neutro
@BrunoGomees Faz o teste e compra uma na Riachuelo, lá é baratinho	Positivo
Fazendo barraco na riachuelo é isto	Negativo
@gabriellys_ Para que possamos te ajudar, entre em contato através dos números 4003-0515 / 0800-729-0515 ou Chat on… https://t.co/gsgVAZtUrd	Neutro
@obicecado ta filmando riachuelo?	Neutro
a riachuelo ela está sem limites https://t.co/7BqHEoimVL	Negativo
"RT @jorgeroriz: @pense_livre @nelianemarinho1 @jairbolsonaro DA RIACHUELO EU SEI
HAVAN VOTA EM BOLSONARO? ISSO NÃO É VERDADE"	Neutro
Vi um cara igual o Wolverine aqui na Riachuelo hsuhshshs	Neutro
@robertacasanti talvez seja porque sou muito chato, mas achei uma riachuelo piorada	Negativo
@BrunoGomees Renner e Riachuelo sempre compro nelas	Positivo
"@pense_livre @nelianemarinho1 @jairbolsonaro DA RIACHUELO EU SEI
HAVAN VOTA EM BOLSONARO? ISSO NÃO É VERDADE"	Neutro
Só eu pra trabalhar nessa riachuelo, em pleno sabadão até as 5	Neutro
@nandaferneves @mafagafiando Venha até a sede do ministério público rua Riachuelo 115 que lhe apresento as tais provas	Neutro
Uma fila enorme para comprar brusinha... mas eu fiz um conjuntinho nerd babadeiro na Riachuelo.	Positivo
@AmandaWatanabee Na Riachuelo do shopping Campo Grande	Neutro
não posso nem ver essas coisinhas desnecessárias nos caixas da riachuelo que eu já quero	Positivo
"sempre me pergunto pq essa musica não viralizou
ela tem muita ""cara"" de algo que tocaria direto na Riachuelo ou coi… https://t.co/EsdYyllDjT"	Positivo
Essa Riachuelo também é um inferno	Negativo
@maluizagarcia vai na riachuelo la tem varias	Positivo
"Riachuelo lança coleção Primavera
https://t.co/D05QgYysjS @riachuelo #moda #modaprimavera #colecaoprimavera https://t.co/1XlNj5dVb4"	Positivo
Pensando na brusinha de got que eu e Nil vimos na Riachuelo.	Positivo
@jadeporto Riachuelo é nome, mas meu salário não é salgado igual o das outras kkkkkkkk	Neutro
Você percebe q é pobre quando riachuelo pra vc é praticamente loja de rico https://t.co/JqggasozUt	Negativo
RT @jadeporto: @debvieiraf_ Quem dera eu trabalhasse na riachuelo igual tu	Positivo
"@_brendasoto_ putsss vai começar a treta

ah eu vi uma IGUALZINHA no shopping, acho q na Riachuelo"	Positivo
@debvieiraf_ Quem dera eu trabalhasse na riachuelo igual tu	Positivo
@emmswanx tem no caxias shopping mana acho q naquela entrada pra Riachuelo, EU ACHO que é nessa entrada, mas tem balcão dela sim	Negativo
RT @igornatusch: Eu diria que a Casa Azul da Riachuelo é o resumo da Porto Alegre atual: poderia ser linda e dar orgulho se estivesse bem c…	Neutro
RT @SuperVia_trens: Entre 10h30 e 19h, faremos manutenções na rede aérea da linha dos paradores. Trens para a Central do Brasil não realiza…	Neutro
Entre 10h30 e 19h, faremos manutenções na rede aérea da linha dos paradores. Trens para a Central do Brasil não rea… https://t.co/pP9qahgFy9	Neutro
@rrcvander Olá, Vander. Gostaríamos de entender melhor essa situação. Você pode nos passar por DM o número do seu C… https://t.co/Io6q26hreW	Neutro
@dantemontni EXAAATOOO!!!!! Mas é que eu entro nessas lojas tipo Rener, Riachuelo e principalmente a C&amp;A e na maior… https://t.co/8kOizY2IFc	Neutro
"Geralmente eu uso um blusão de moletom pra ficar em casa minha mãe: ""vi um homem na TV com uma blusa igual a tua""… https://t.co/yh0cCRJo4L"	Neutro
Fiz uma compra na @riachuelo do shopping Cidade - BH, ao conferir a nota vi que em um dos produtos não haviam aplic… https://t.co/wfNEHHEQCL	Neutro
Nintendo não fico pagando pau pra vcs nas redes sociais pras bunitas fazerem parceria com a Riachuelo e fazer linha… https://t.co/v5LvgtDd0R	Neutro
"Escola, Anna Laura, bonde das maravilhas, riachuelo, deboche, inimigas, direta&amp;sinceridade 
""Você quer diversão, docinho?"""	Positivo
"RT @IrmaosDeDireita: Grandes empresas apoiando @jairbolsonaro :
✔ Riachuelo 
✔ Centauro 
✔ Havan
✔ localiza 
✔ Tecnisa 

Ainda tem todas CN…"	Negativo
a Riachuelo não percebeu que os posts sobre os tênis da Balenciaga eram meme e agora fez uma coleção imitando que lindo	Negativo
@AndreBritto16 O dono da Riachuelo responde na justiça por trabalho escravo nas empresas dele. Isso é o que ele ach… https://t.co/U24MvUuvgi	Positivo
VÊM COLEÇÃO PRIMAVERA-VERÃO @riachuelo e @Lojas_Renner 😍❤️👊🏾	Positivo
To na riachuelo experimentando montão de roupa 😃 mas não vou levar nenhuma 🙁	Positivo
@amandabassete Na Renner vende e Riachuelo	Negativo
@luciocaramori Aconselho a vcs, por exemplo, conversa rem com o dono da Riachuelo. Ele deve ser meio ignorante para… https://t.co/KwcsdWaUiz	Positivo
@evayllant riachuelo cara ! TEM CADA COISA MARAVILHOSA	Negativo
RT @Castro2Monica: O CEO da Riachuelo apoiou o golpe e levou a empresa ao inferno.	Negativo
Nem pensar em comprar na Riachuelo e Centauro. https://t.co/7wR8adW5m9	Negativo
@JornalOGlobo Gente essa metodologia d vcs funcionou só no início do golpe, agora é o Brasilzao q vai d Lula, o gol… https://t.co/VKRJKaf7wW	Negativo
Melhor notícia do dia : a Riachuelo vai quebrar. https://t.co/LyjkQkptrW	Positivo
essas loja de rico não tem um banquinho pra eu sentar, prefiro riachuelo que tem banco a cada 5 passos	Positivo
Por isso que eu não pago mais caro nos tênis da Adidas, Balenciaga e os crlh a quatro! Olha esses tênis da nova col… https://t.co/Eo6gL682vU	Negativo
via @djairgalvao  Riachuelo, do ex-candidato Flávio Rocha, fecha e põe à venda megacentro logístico que tinha em Gu… https://t.co/AFxxjPmy7B	Neutro
@brunofavero1_ recomendo o buffet livre R$12,50 na venâncio um pouco abaixo do colégio Riachuelo https://t.co/s6O75Ba30Q	Positivo
@penisparkker na riachuelo é o que mais tem xuxu é praticamente escorada na marvel/dc e em hp	Positivo
"Look girl Power do finde!👑💃👯⚡
&gt;&gt; Regatas da @valisereoficial 👑
&gt;&gt;Regata cinza da @riachuelo 👑
&gt;&gt;Calça jeans da real… https://t.co/TdyJs84byn"	Positivo
A riachuelo tá com uma coleção tão linda do mario e eu tô mt triste pois 0 dinheiro	Neutro
A @PGMPoa ingressou com ação judicial pedindo a declaração de abandono e arrecadação do imóvel localizado na rua Ri… https://t.co/5IpITx50XK	Negativo
Atendente da Riachuelo 100% autistica me perguntando se eu tenho o cartao deles	Neutro
"RT @anavitlovers: Anavitória - Turnê ""O Tempo é Agora""
09 de Setembro - Teatro Riachuelo
https://t.co/XHVSq0jZTf https://t.co/SQL1BpDx8B"	Neutro
"@djairgalvao @marcelohceh Oi @djairgalvao
Não tenho muito ensumo sobre a informação acima, mas o CD da Riachuelo em… https://t.co/hwNw9joyUN"	Positivo
"essa foi feita pra tocar na rádio da Riachuelo
https://t.co/eVtSopDUnz"	Neutro
@GuilhermeBoulos @AnaPaulaVolei Disse o cara que invade aptos e cobra aluguel de miseráveis, q invade terras de que… https://t.co/ocnG1ofYOg	Neutro
"Anavitória - Turnê ""O Tempo é Agora""
09 de Setembro - Teatro Riachuelo
https://t.co/XHVSq0jZTf https://t.co/SQL1BpDx8B"	Neutro
LOOKS NO PROVADOR RENNER E RIACHUELO - PLUS SIZE: https://t.co/9DfwYwhST4 via @YouTube	Negativo
Alguém manda a @riachuelo parar de me ligar pra oferecer coisa? Se eu quiser eu vou na loja! E NÃO, NÃO QUERO PARTI… https://t.co/FlHFU6MlM0	Negativo
Riachuelo, do ex-candidato Flávio Rocha, fecha e põe à venda megacentro lojístico da empresa em Guarulhos. Logo ele… https://t.co/jTkicDe01B	Negativo
@bobjackk Acreditou e se ferrou, Fliavio Rocha apostou no golpe e a Riachuelo está em crise e já vendendo seu maior complexo da grande SP.	Neutro
@smoliveiraneto Sobre o de Manaus: https://t.co/6TcXOq6ksh	Neutro
As pessoas são livres, podem vestir o q quiserem, ok. Mas gente, é área aberta, gramado, sujeito as mudanças de tem… https://t.co/ImS8MILFJI	Negativo
Eu to com um ódio tão grande da Riachuelo	Neutro
@riachuelo pratrocina nois https://t.co/i1SMaXhMfV	Negativo
Riachuelo fecha seu centro de distribuição. Grupo Abril em recuperação judicial. Desemprego histórico, e aumentando… https://t.co/TOU99B9OR9	Positivo
Tem na Riachuelo shopping https://t.co/ZLnyMzRJrt	Neutro
"Bom dia:
Linguica com guariroba.
Linguica com cheiro verde.
Linguica com mandioca e a tradicional.
Venha esperamos… https://t.co/r8quuGN0zG"	Positivo
#SabadoDetremuraSDV alguém diz pra @riachuelo me dá essas camisas https://t.co/1zKCqANYqF	Neutro
RT @SuperVia_trens: Hoje faremos manutenções na rede aérea da linha dos paradores. Entre 10h30 e 19h, trens para a Central do Brasil não re…	Neutro
@djairgalvao Tem algum link, eles iam abrir o ecomerce https://t.co/O6Nq5Srnny	Negativo
O CEO da Riachuelo apoiou o golpe e levou a empresa ao inferno.	Negativo
@djairgalvao Foda-se a Riachuelo	Neutro
Hoje faremos manutenções na rede aérea da linha dos paradores. Entre 10h30 e 19h, trens para a Central do Brasil nã… https://t.co/cvy51UzKfw	Positivo
Queria muito um cartão da riachuelo ou da c&amp;a	Neutro
@obrunos @NaoInviabilize Tem um monte na farmácia da Riachuelo em frente a da casa do Reginaldo, depois do Hotel Br… https://t.co/4J9ftetoHh	Neutro
"Hoje, às 15h, e amanhã, às 11h, tem Beatles para Crianças, com o espetáculo ""Meu primeiro show de rock"", no Teatro… https://t.co/HeWKLBm6Tu"	Neutro
"@tiagoportoc @brsamba Tem o ""Walking Dead"" da Riachuelo tb."	Negativo
Riachuelo, do ex-candidato Flávio Rocha, fecha e põe à venda megacentro lojístico que tinha em Guarulhos. Logo ele… https://t.co/J53Z3HNUhY	Negativo
a vida adulta eh um cu uma hora dessa to resolvendo problema com riachuelo	Neutro
Primeiro Flávio Rocha da Riachuelo, em seguida Sebastião Bonfim da Centauro, agora Luciano Hang da Havan.  Quem ger… https://t.co/mVWBH3viLM	Neutro
I'm at FADERGS - Unidade Riachuelo in Porto Alegre, Rs https://t.co/XCGGmtsk82	Neutro
RT @BlogOlhoNaMira: Segue o folhetim Bolso - Riachuelo https://t.co/ApNAGyfFkc	Negativo
@lukochler obg a todos os envolvidos vulgo Riachuelo e Leo 👍	Negativo
E a outra metade está indo para Riachuelo trabalhar https://t.co/LvCGFmla6r	Positivo
"a paleta é essa da tracta e como vcs podem ver custa apenas 29 golpinhos 

eu comprei na riachuelo mas deve ter em… https://t.co/APswwCoEJZ"	Positivo
ACHEI MEU CRUSH DA RIACHUELO MANOOOO quase quebrei o quarto da Emilly	Neutro
Assisti Vamp O Musical e foi suuuper divertido!! Quem ainda não tem rolê marcado pra amanhã, vai ter sessão às 17h e as  21h no Riachuelo.	Negativo
to chocado que a riachuelo fez uma copia do tenis da vuitton e da balenciaga kkkkkkk	Neutro
@MarinaSilva Tá nada o presidente ir no Riachuelo   decidir o pagamento dos funcionários  dele anta	Positivo
a camiseta vc comprou na onde? — de jurassic park? socorro que você ainda lembra do tweet, eu comprei na riachuelo https://t.co/766yHRusGj	Negativo
fui na RIACHUELO ainda ontem e tava por 150 vi no site da SEPHORA agora por 57..........	Neutro
@gabrrielgomes migo tem uma camisa parecida na riachuelo só que é vermelho no lugar do amarelo	Neutro
@Pedrobonvivant @riachuelo @BALENCIAGA Porra, mas um balenciaga é um balenciaga né	Neutro
joão, você comprou essa camiseta, da tua foto de perfil no twitter, em algum site online? tu lembra qual foi? achei… https://t.co/sK2KzNpCvq	Positivo
"RT @julianaayres: DONO DA RIACHUELO ANUNCIA APOIO A #BOLSONARO

Flávio Rocha 2017 / Flávio Rocha 2018

O povo achando que o Bolso era uma m…"	Neutro
RIACHUELO EM AÇÃO: PESQUISA IBOPE NO RN: FÁTIMA BEZERRA (PT), 34%, CA... https://t.co/i7vCbTTqDL	Neutro
"with grandma 👵✨
fomos assistir o musical vamp no teatro riachuelo, muito bom!!! 👏🏻👏🏻👏🏻👏🏻 em Midway Mall https://t.co/CQyMF68i4I"	Positivo
@italobelmont comprei no site da riachuelo	Negativo
"Hj a moça da Riachuelo perguntou se eu tinha o cartão da loja 
Disse q nao e ela perguntou se eu tinha idade pra is… https://t.co/wxV53hFsZu"	Neutro
Vagas p/ Líder de Vendas e Merchandising (MODA)  - Baixada Santi - Lojas Riachuelo - Santos/SP - https://t.co/yTUjjBAmIm	Negativo
RT @CapixabaCirao: Olhando a desenvoltura intelectual e de raciocínio do Bozo lembrei dos donos da Centauro e Riachuelo. Será que eles teri…	Negativo
A Riachuelo imitando a LV e a Balanciaga foi amais jkkkkkk	Positivo
Mamãe comprou uma blusa fofíssima pra mim na Riachuelo, mas é quase um cropped 🙄	Neutro
"RT @OPesadeloDP: Novos parceiros chegando!

Com a ajuda de Deus, sócios, riachuelenses e Patriotas da Nação,  voltaremos a ser uma grande p…"	Positivo
Riachuelo do look brabo eu queria levar tudoooo pqp como é ruim ser pobre	Neutro
RT @TheGodFather_75: A vida dos tucanos e petistas não tá fácil.... não podem comprar na Centauro, na Riachuelo e agora na Havan..... é....…	Neutro
RT @maureliomello: Sei que não sou um grande consumidor e que talvez para eles o meu tostão não seja importante, mas a partir de hoje não c…	Neutro
"@luis_costa89 Mas não respondi sua pergunta... 
As lojas q já comprei são: Red Bug, Nerd Universe, Chico Rei, Pitic… https://t.co/6Ng2feWnsu"	Negativo
"RT @muliro7777: ja que não tem Forever21 vai riachuelo
@jao_mant https://t.co/doMgwj2Uzu"	Negativo
Olhando a desenvoltura intelectual e de raciocínio do Bozo lembrei dos donos da Centauro e Riachuelo. Será que eles… https://t.co/ChslMeXDsX	Positivo
"Gente, não é a Riachuelo da Eduardo é a da Getúlio Vargas. 

FECHARAM A LOJA COM MAIS PEÇAS BONITAS"	Negativo
"Eu vi a camisa linda na riachuelo
Mas era tamanho 40
Queria saber quando as loja vão descobrir q é 2018 e todo mund… https://t.co/zu2VGNzzqn"	Positivo
"Eu- temos que economizar layla..
Layla- acho que vou fazer um cartão na Riachuelo e comprar um tênis"	Negativo
"ja que não tem Forever21 vai riachuelo
@jao_mant https://t.co/doMgwj2Uzu"	Negativo
"""Ciro, se você limpar meu nome no SPC, o pessoal da Riachuelo voltará a me oferecer cartão?"" #DebateRedeTV"	Negativo
meu deus mano a riachuelo deu corda pra esse tenis horroroso https://t.co/O4BIdytT8B	Negativo
Olhando a desenvoltura intelectual e de raciocínio do Bozo lembrei dos donos da Centauro e Riachuelo. Será que eles… https://t.co/px2U9Scbrg	Neutro
"RT @danielacalcia: #RJ CENTRO! ADOÇÃO URGENTE!

Essa linda menina foi abandonada ontem na Rua Riachuelo, um morador de rua em frente ao pré…"	Negativo
Legal que eu vou na riachuelo, chego na coleção da marvel, não tem pantera negra	Neutro
mais fedorenta do Riachuelo — sai daqui bruna https://t.co/3rbowS3lNb	Negativo
eu entro no site da riachuelo e outras lojas tudo roupa bonitinha vai na loja física só a bagaceira	Neutro
"A mina ta usando roupa branca pra pintar
mae depois de avisar mil vezes pra ñ usar essa roupa: se eu vir alguma man… https://t.co/P4rYM4MR6b"	Neutro
@rayannetavares0 @Lojas_Renner @RedeGlobo @riachuelo olha a oportunidade de ganhar clientes, nunca te pedimos nada	Neutro
Vagas p/ Supervisor (a) de Atendimento (crediário e caixa) - Gra - Lojas Riachuelo - Vitória/ES - https://t.co/0yGP0Pj9An	Negativo
me tira do SPC ciro, riachuelo não para de me ligar #DebateRedeTV	Neutro
"RT @kuringa_sc: LAURETA: Vou mandar fazer uma camiseta com os dizeres: ""Nunca duvide de Laureta"" Se fizerem eu quero.... por favor @Lojas_R…"	Neutro
"LAURETA: Vou mandar fazer uma camiseta com os dizeres: ""Nunca duvide de Laureta"" Se fizerem eu quero.... por favor… https://t.co/c1ukBAyPHr"	Negativo
Porra, pierre não trouxe nada da Nike hoje 🤦🏼‍♂️ ia pegar umas 5 camisas e o fdp só trouxe da riachuelo Tmnc	Positivo
@caiochavao1227 aí credo kkkkk, obviamente Riachuelo iria ganhar	Positivo
@rainingspellhae kkkkkkk na Riachuelo ainda, Riachuelo manda meias	Positivo
"CENTAURO, LOJAS RENNER, HAVAN E RIACHUELO APOIANDO BOLSONARO!

MELHOR ""JAIR COMPRANDO"" 🤣🤣🤣 https://t.co/xz0Gn7r3Rh"	Positivo
@bepuppet Na Riachuelo vende isso??? MORT.	Positivo
Eu faço isso quando entro na Riachuelo 😂 https://t.co/PlZPeHpwZK	Neutro
RT @Ryan_Menezesss: Laura fez a gente ir no mercado, na multisom, passar na marisa, depois na riachuelo, quando ela falou que queria ir na…	Neutro
@ivonepita @Espiaespionando Qdo o ônibus chega na Rua do Riachuelo eu já tiro o cachecol	Positivo
meu deus cara tinha umas blusinhas de st muito lindas de st na riachuelo	Neutro
RT @SuperVia_trens: Amanhã, das 10h30 às 19h, os trens sentido Central do Brasil, não vão parar nas estações Méier, Engenho Novo, Sampaio e…	Positivo
Estão pilhando a volta da Riachuelo hoje, bem que poderia dar certo	Negativo
@Damiao_FLN @fabdnz Faltou entrar na lista a centauro e a riachuelo	Neutro
Onde estuda? — Riachuelo https://t.co/uissrQOTqB	Positivo
RT @fridakaldos: a luz do provador da riachuelo eh mto mentirosa pq eu fico bonita la	Neutro
Laura fez a gente ir no mercado, na multisom, passar na marisa, depois na riachuelo, quando ela falou que queria ir… https://t.co/v0OVPcbJMZ	Positivo
"EU ACHEI MEU TENIS NA RIACHUELO.
DEUS ME SEGURA Q EU VOU ME ENDIVIDAR"	Neutro
"Novos parceiros chegando!

Com a ajuda de Deus, sócios, riachuelenses e Patriotas da Nação,  voltaremos a ser uma g… https://t.co/tpy8P76xnV"	Neutro
Gostei de um vídeo @YouTube https://t.co/LFgbqpwi6j da Riachuelo detona a comunista Manuela d'Ávila	Negativo
as vendedoras da riachuelo que me aguardem por que eu vou atacar as pessoa que nem elas fazem oferecendo p fazer o cartão da loja	Neutro
Noite dos vampiros 🧛‍♂️ #ValeuSulAmerica em Teatro Riachuelo Natal https://t.co/XMmqS64XmL	Positivo
A coleção primavera na Riachuelo tá a coisa mais linda 😍	Negativo
"Havan e Riachuelo apoiando *aquelequenãodevesernomeado* por um ""Brasil melhor"". Nem passo mais perto dessas lojas..."	Negativo
Dps o cara da Riachuelo ficou dando em cima de mim COMO Q PODE ISSO MANO	Negativo
Você paga 85 reais num pijama na Riachuelo mas só usa a blusa larga do boy	Neutro
RT @OperacoesRio: RT @SuperVia_trens: Amanhã, das 10h30 às 19h, os trens sentido Central do Brasil, não vão parar nas estações Méier, Engen…	Neutro
RT @SuperVia_trens: Amanhã, das 10h30 às 19h, os trens sentido Central do Brasil, não vão parar nas estações Méier,… https://t.co/exR1aoMqtt	Neutro
Amanhã, das 10h30 às 19h, os trens sentido Central do Brasil, não vão parar nas estações Méier, Engenho Novo, Sampa… https://t.co/Ufu3WlwRaY	Neutro
"RT @partiuconquista: 8 PIORES MOMENTOS PARA DAR SALDO INSUFICIENTE EM CONQUISTA

- MASTER MOTEL 
- LOS PAMPAS 
- CARRO NA RESERVA NO SÃO JO…"	Neutro
Queria ir para o teatro Riachuelo hj mas me avisaram em cima da hora e nem ia dar tempo	Negativo
@yancassimiro @riachuelo @BALENCIAGA Feio por feio, os dois sao kkkkk mas pelo menos n deve abrir td em 1 mes mkk	Negativo
Fiz uma compra de 89, tô pagando 97. Assim que pagar, vou quebrar meu cartão e cancelar, vocês são uns ladrões @riachuelo !!!!!	Negativo
@Pedrobonvivant @riachuelo @BALENCIAGA Vcs tem que parar a Riachuelo kkkkkkkkkk plmds	Neutro
"RT @RosalieArruda: Atores o musical Vamp ""causam"" na fábrica Guararapes: fotos:AJ O empresário Riachuelo Nevaldo Rocha recebeu atores… http…"	Neutro
"Se liga que vai aumentar!!!
.
Ingressos no https://t.co/wnmm2jLKMJ ou nas Lojas Riachuelo dos Shoppings Tacaruna, B… https://t.co/CSKWI4zgI0"	Neutro
RT @branci13: 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 Senhores donos da Havan, Riachuelo e cia. Favor trazer idéias para gerar empregos e tirar nosso país d…	Neutro
@pedrobcantele Olá, Pedro! Por gentileza, relate por DM o que aconteceu para ocasionar seu descontentamento. Aguardamos seu retorno.	Neutro
"Atores o musical Vamp ""causam"" na fábrica Guararapes: fotos:AJ O empresário Riachuelo Nevaldo Rocha recebeu atores…… https://t.co/4cPeeyvsaJ"	Positivo
@jauregay121 se eu achar na c&amp;a/riachuelo/marisa/renner eu comprokkkkkkkk surto	Positivo
@odioeprogresso riachuelo menina, tinha um desse preto tbm e um outro preto com o logo de stranger things, muito bonitinho	Neutro
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 Senhores donos da Havan, Riachuelo e cia. Favor trazer idéias para gerar empregos e tirar no… https://t.co/Hgs1HE67m4	Neutro
